PF00698	59,176,209
PF07098	62,62,180
PF08669	184,178,54
PF01571	112,228,161
PF00690	174,102,225
PF14903	211,225,108
PF07007	150,179,83
PF07660	78,190,205
PF00850	184,51,130
PF08338	63,110,190
PF04655	92,202,190
PF13353	213,229,100
PF13098	210,154,89
PF04828	68,192,55
PF11412	68,196,119
PF13195	112,168,229
PF11829	206,160,99
PF09098	199,82,167
PF14930	227,76,86
PF08521	207,229,84
PF14235	56,210,188
PF09100	216,59,82
PF13899	143,52,187
PF16188	86,220,93
PF13087	128,64,192
PF13086	202,54,99
PF03180	162,197,97
PF08502	182,95,71
PF09099	55,181,63
PF08992	88,213,69
PF02683	89,192,111
PF16189	101,206,92
PF03717	90,211,197
PF01790	140,56,206
PF00351	178,114,49
PF12051	89,188,170
PF02366	192,92,197
PF12681	180,59,108
PF00241	119,84,183
PF08922	86,196,107
PF06236	182,64,58
PF13376	212,104,109
PF02655	84,156,185
PF02567	223,91,96
PF00893	199,75,202
PF13160	84,135,199
PF00712	201,83,112
PF00764	93,212,110
PF01316	219,102,162
PF02863	80,175,218
PF00696	148,78,224
PF01960	81,120,181
PF15891	150,222,97
PF07683	172,98,218
PF14040	226,110,190
PF02588	155,63,204
PF01380	212,106,227
PF10925	194,169,75
PF13823	221,55,66
PF11033	226,214,112
PF14378	89,191,133
PF14552	212,61,104
PF08450	210,60,225
PF00041	203,70,135
PF07504	225,91,194
PF13540	81,70,188
PF03413	127,66,203
PF12740	225,187,68
PF00415	104,191,58
PF01227	48,180,84
PF07592	208,208,80
PF10646	94,187,226
PF00579	82,63,204
PF01479	93,184,76
PF13551	163,71,225
PF05630	187,158,82
PF00245	172,203,66
PF04320	81,158,187
PF02983	180,74,226
PF07277	104,217,175
PF05106	195,55,135
PF01276	81,100,217
PF05638	228,113,111
PF03709	202,209,99
PF03711	141,108,220
PF16169	63,228,88
PF14399	159,218,73
PF08713	215,156,71
PF09860	169,56,213
PF02378	73,199,212
PF01138	201,109,229
PF00912	172,107,216
PF01725	76,199,61
PF00367	188,77,92
PF06182	223,99,59
PF03725	81,207,213
PF04286	88,190,144
PF13083	210,54,170
PF00886	180,71,61
PF02978	109,179,74
PF01797	198,164,60
PF00448	107,219,168
PF02881	179,66,186
PF08869	139,215,88
PF03441	206,143,93
PF00875	87,58,223
PF04365	81,152,189
PF04480	191,106,66
PF04255	205,68,213
PF03693	185,115,52
PF00085	220,109,180
PF04397	207,76,174
PF03412	214,226,77
PF12173	121,181,84
PF01944	96,132,207
PF13346	176,207,85
PF14501	137,71,210
PF09221	200,220,70
PF13728	99,217,102
PF04647	181,182,61
PF01808	212,188,65
PF01670	214,54,209
PF01116	188,67,71
PF14867	140,86,183
PF12844	72,216,183
PF04604	206,129,75
PF13154	155,95,210
PF16934	112,97,225
PF07862	82,202,204
PF13380	212,69,78
PF09186	71,198,213
PF01205	123,190,85
PF14028	107,223,113
PF00015	104,174,223
PF12729	100,214,134
PF02052	66,195,175
PF04738	219,60,229
PF08130	76,69,195
PF02796	223,208,93
PF02698	60,150,205
PF05952	171,183,48
PF03703	228,219,97
PF06543	228,206,68
PF11758	114,178,85
PF03432	83,211,222
PF10709	204,93,76
PF13614	144,187,62
PF06970	221,85,68
PF05857	77,71,189
PF01473	185,86,176
PF02324	204,100,135
PF11083	202,134,81
PF11798	81,199,189
PF00817	187,207,75
PF13155	98,107,198
PF11799	68,195,187
PF13808	95,129,194
PF13599	228,182,106
PF13601	67,118,220
PF13471	63,111,179
PF05402	124,62,188
PF07291	177,83,181
PF13462	46,180,48
PF07221	117,87,186
PF03190	55,198,192
PF02794	53,200,189
PF00589	91,96,195
PF02452	81,193,221
PF06406	59,226,99
PF10784	70,197,91
PF00529	100,228,198
PF00816	192,206,65
PF12559	179,147,51
PF08443	192,59,192
PF06723	55,204,164
PF07714	90,143,181
PF07158	101,217,181
PF09394	131,225,100
PF00112	78,125,201
PF13905	180,174,87
PF00675	70,225,127
PF11420	190,123,83
PF13643	216,136,54
PF01695	205,68,192
PF03946	46,118,184
PF00298	227,212,100
PF08708	74,114,216
PF13518	61,197,72
PF06968	91,179,207
PF04239	165,197,85
PF12849	160,200,96
PF00011	148,223,75
PF03860	196,97,124
PF05000	55,181,110
PF00177	205,95,228
PF00687	114,213,90
PF00623	166,226,92
PF04998	203,97,183
PF00164	171,52,184
PF04983	151,80,202
PF00494	178,91,49
PF11066	97,120,227
PF12848	54,177,199
PF03144	69,184,189
PF04705	81,164,187
PF03143	213,153,104
PF01076	51,103,188
PF01721	73,187,108
PF08951	192,143,75
PF10439	158,186,86
PF00746	45,94,179
PF01719	85,228,225
PF00910	186,65,156
PF02048	61,229,146
PF00462	77,192,167
PF01520	174,223,57
PF03047	94,149,201
PF13374	211,98,167
PF06325	165,213,101
PF07812	196,226,76
PF00476	170,75,203
PF11807	215,82,196
PF07739	94,74,206
PF02900	202,182,53
PF02386	67,179,142
PF05834	212,80,200
PF04120	223,108,176
PF14587	181,199,55
PF08533	202,73,111
PF03544	196,207,101
PF12000	114,224,74
PF03073	191,88,103
PF06999	70,187,139
PF01209	90,83,226
PF13715	198,51,128
PF07470	81,95,186
PF04551	61,170,205
PF13361	211,102,116
PF13249	88,190,89
PF11468	121,52,185
PF07681	93,188,216
PF03936	219,91,215
PF00027	138,95,204
PF07858	165,198,57
PF02670	106,225,169
PF08436	160,186,55
PF13288	184,95,48
PF00290	101,209,118
PF13207	217,172,75
PF01397	74,159,219
PF01756	160,60,188
PF13840	227,81,80
PF04341	74,157,199
PF00856	69,182,89
PF00076	183,87,84
PF14489	91,158,228
PF07091	91,151,191
PF01702	61,158,187
PF08666	203,50,144
PF13712	220,96,135
PF03447	89,165,190
PF02446	223,71,228
PF01833	194,198,96
PF00686	189,66,101
PF02057	128,184,54
PF02806	60,49,183
PF03714	229,95,205
PF08323	85,134,200
PF08282	195,74,128
PF04027	83,213,119
PF01988	223,222,68
PF14535	184,90,149
PF03636	73,213,222
PF03633	72,122,191
PF03632	190,87,121
PF02719	103,215,129
PF05076	71,228,75
PF05331	68,136,228
PF08376	185,78,149
PF13600	211,159,86
PF06508	217,93,123
PF03029	211,191,83
PF13598	110,201,93
PF13810	169,59,211
PF02811	167,87,219
PF14716	83,210,138
PF05960	208,54,141
PF00533	69,217,144
PF03214	98,51,186
PF01658	206,100,116
PF13671	83,141,224
PF09299	73,158,216
PF13580	87,217,81
PF01087	67,205,199
PF01555	54,198,162
PF07884	178,50,183
PF14311	91,223,148
PF08939	100,214,193
PF13700	93,106,195
PF01526	92,211,195
PF00699	166,70,221
PF12696	191,70,55
PF04020	207,69,163
PF09707	136,54,185
PF01464	181,60,156
PF10935	200,100,66
PF04371	68,195,113
PF12083	165,218,101
PF01812	201,76,201
PF14216	79,196,132
PF02613	193,50,184
PF00877	187,86,137
PF00781	92,98,205
PF01329	109,209,90
PF06305	129,84,199
PF10518	85,137,217
PF10979	191,60,131
PF08751	65,215,103
PF17128	213,102,174
PF03861	113,53,203
PF13247	61,193,49
PF01867	84,220,92
PF02467	207,97,52
PF14659	202,93,203
PF04951	94,138,195
PF14494	141,96,194
PF14711	203,122,62
PF02665	227,87,116
PF13474	182,82,66
PF13620	201,63,96
PF00989	205,221,64
PF02040	207,201,91
PF02666	101,220,65
PF01066	100,201,161
PF03971	188,70,62
PF09126	125,182,79
PF03745	226,131,98
PF02522	93,59,220
PF02839	63,218,156
PF05406	69,124,182
PF00188	189,95,74
PF13570	154,89,181
PF06172	142,208,95
PF00704	226,95,151
PF12900	102,80,216
PF13394	183,137,47
PF00453	221,85,111
PF08032	99,204,143
PF01409	88,202,82
PF03484	94,91,186
PF05198	226,105,214
PF00707	122,214,90
PF00230	105,207,228
PF08940	79,88,192
PF09383	151,90,196
PF01588	192,51,118
PF03147	152,84,215
PF01632	87,201,54
PF05719	221,100,205
PF07179	221,181,60
PF02912	185,106,54
PF13549	194,96,199
PF07040	185,64,126
PF01488	94,182,59
PF08007	100,90,217
PF01432	56,183,126
PF09948	88,205,177
PF03062	116,79,215
PF16822	104,217,140
PF16824	71,213,188
PF13372	128,200,52
PF05426	209,93,208
PF01050	53,184,51
PF11182	132,198,87
PF13793	198,87,51
PF14572	229,120,92
PF00697	123,74,199
PF02563	125,185,59
PF01943	71,213,101
PF14052	58,137,189
PF13727	153,200,97
PF08660	171,179,66
PF02706	184,132,90
PF01451	199,53,196
PF13807	77,110,190
PF04230	211,93,213
PF02397	57,165,209
PF10531	92,145,209
PF01229	81,192,91
PF04932	106,219,107
PF05159	183,215,64
PF13524	67,127,200
PF02350	212,113,103
PF12996	190,203,93
PF11380	187,196,49
PF17101	125,69,194
PF12895	158,66,183
PF12762	211,88,85
PF13166	102,211,211
PF02590	187,85,81
PF14296	151,79,184
PF02876	172,186,83
PF13477	190,91,205
PF01123	101,197,65
PF06124	92,227,218
PF04993	80,46,184
PF00388	181,46,66
PF06106	179,55,77
PF04507	227,109,110
PF01207	178,84,152
PF11316	57,62,216
PF09721	94,107,207
PF11984	77,215,143
PF06945	84,199,130
PF13640	163,67,223
PF13145	77,77,182
PF10609	107,194,90
PF16889	73,128,205
PF01346	157,68,193
PF00254	137,65,200
PF07940	92,170,189
PF03808	83,144,229
PF00488	106,217,199
PF01624	208,180,91
PF05192	87,171,208
PF05704	199,186,82
PF13624	84,156,193
PF07589	125,218,99
PF05188	191,184,60
PF10082	194,81,181
PF13440	90,196,165
PF09008	105,185,52
PF14897	148,193,88
PF09992	174,75,205
PF14667	222,92,150
PF03275	169,187,61
PF06114	182,213,77
PF01531	101,92,208
PF02485	141,183,61
PF14393	182,186,90
PF00986	184,59,116
PF00204	66,134,179
PF07786	166,59,205
PF06080	90,218,195
PF01751	95,212,145
PF05305	96,199,66
PF05065	190,161,71
PF02348	198,69,151
PF06306	90,96,199
PF03102	225,145,80
PF06002	200,60,176
PF01075	200,89,91
PF02709	218,95,200
PF03279	95,219,149
PF13011	93,211,191
PF14346	97,187,81
PF05045	109,228,177
PF00437	201,94,126
PF14307	154,50,178
PF04325	83,221,164
PF13410	228,199,74
PF14524	91,192,197
PF00953	179,46,82
PF04413	84,216,75
PF08437	118,204,65
PF06176	88,95,197
PF01501	208,74,95
PF06293	64,86,229
PF01755	71,196,156
PF13505	200,118,85
PF04030	58,139,185
PF07507	227,79,117
PF14412	211,67,212
PF00121	57,136,212
PF06082	190,185,78
PF11102	69,189,155
PF01238	61,229,93
PF01219	54,189,137
PF02681	215,62,131
PF13665	86,181,80
PF03706	98,201,219
PF05686	184,182,87
PF06251	93,196,216
PF00216	73,205,204
PF00575	102,56,190
PF13683	75,178,160
PF03606	204,117,55
PF10111	77,210,64
PF07922	109,183,59
PF03631	223,82,207
PF00395	106,215,138
PF13592	178,60,202
PF06056	199,200,96
PF01884	118,57,187
PF05699	186,85,62
PF14291	67,212,175
PF13289	70,187,154
PF00353	73,143,181
PF07536	73,191,195
PF02922	166,223,94
PF11941	55,147,193
PF01356	92,208,181
PF11662	96,85,185
PF01435	70,152,228
PF07927	182,96,204
PF01128	113,223,84
PF00056	205,51,142
PF02866	94,219,97
PF13344	78,107,184
PF01131	136,196,98
PF13368	146,209,96
PF12728	179,100,76
PF01925	105,203,95
PF10724	75,104,211
PF09369	161,180,86
PF01619	103,199,72
PF00420	73,55,194
PF08759	130,225,76
PF04991	184,165,54
PF00662	120,87,218
PF08768	168,61,214
PF03030	191,92,155
PF13242	202,89,70
PF10824	64,186,152
PF02575	186,75,123
PF14436	51,118,178
PF13685	57,214,170
PF17102	86,134,207
PF17103	206,228,60
PF12902	159,71,195
PF00199	191,89,74
PF06628	79,179,148
PF10343	47,187,100
PF13508	183,210,60
PF14732	198,102,73
PF02673	78,220,196
PF01145	218,155,102
PF08482	214,71,97
PF10990	131,220,60
PF12911	167,178,88
PF08498	65,219,176
PF05257	54,187,84
PF04237	66,212,177
PF17170	67,171,188
PF03548	84,160,208
PF11659	224,86,172
PF13568	75,129,209
PF13310	94,147,201
PF09835	205,100,69
PF01103	148,194,51
PF00930	212,154,99
PF04357	66,216,187
PF07244	97,223,73
PF03576	222,70,152
PF03639	72,174,181
PF01112	153,88,193
PF03068	183,123,85
PF04339	206,229,102
PF12553	88,220,153
PF03054	197,86,150
PF16715	66,210,97
PF06339	225,176,81
PF14864	227,74,132
PF14863	209,194,83
PF05228	219,204,62
PF00990	62,170,199
PF00224	90,209,79
PF13442	49,184,120
PF00034	130,184,61
PF04266	208,181,89
PF14715	115,208,75
PF08681	115,223,63
PF02696	80,146,212
PF09905	108,210,95
PF02887	157,190,51
PF02433	185,78,189
PF10861	218,98,196
PF05922	171,79,191
PF01483	219,88,55
PF05597	170,196,71
PF07167	147,68,191
PF05233	90,173,181
PF07879	179,66,50
PF09712	219,141,78
PF09361	150,71,183
PF09861	183,68,131
PF03015	157,58,225
PF07831	204,173,76
PF13463	130,111,228
PF14269	81,204,122
PF13238	77,199,166
PF00932	71,205,221
PF09844	209,75,163
PF02222	86,179,93
PF13246	200,58,79
PF01512	84,180,118
PF10589	95,196,140
PF04972	62,222,71
PF02080	76,186,211
PF02511	50,175,182
PF02254	120,217,104
PF02225	96,125,211
PF00709	198,70,120
PF02979	204,148,70
PF02211	192,161,86
PF05014	142,182,49
PF01850	91,217,126
PF00742	219,100,144
PF03780	195,60,141
PF03485	123,182,87
PF01842	67,209,69
PF03591	70,147,184
PF05746	90,223,221
PF05437	89,184,63
PF02481	72,189,53
PF13612	205,75,164
PF14759	71,86,184
PF00301	130,88,185
PF00484	215,92,126
PF06177	78,126,222
PF00988	183,185,63
PF02560	72,88,181
PF02595	77,186,228
PF13480	110,194,95
PF02615	125,220,90
PF02641	92,223,56
PF03900	171,104,225
PF05140	86,122,179
PF00490	119,78,220
PF13241	229,162,111
PF02602	191,152,50
PF01379	172,226,73
PF00745	114,191,48
PF05201	127,92,198
PF04216	204,174,95
PF02416	74,206,98
PF01578	209,148,97
PF14824	204,86,153
PF07833	219,151,89
PF00902	84,193,209
PF10414	111,225,67
PF00075	225,86,224
PF00350	114,185,61
PF01584	141,221,87
PF16582	60,158,198
PF05957	47,178,125
PF05655	202,218,86
PF03330	64,117,187
PF04208	226,98,90
PF00182	105,170,214
PF13531	202,228,104
PF01967	81,126,206
PF03205	82,164,191
PF06463	149,103,225
PF10509	76,105,227
PF03453	93,188,107
PF02391	70,60,221
PF00994	75,187,175
PF02744	223,87,203
PF03454	59,190,161
PF10118	72,190,117
PF02753	79,204,67
PF13954	119,201,87
PF13953	56,207,188
PF00577	95,174,210
PF00345	72,109,195
PF08933	86,178,181
PF14464	187,62,157
PF01894	101,99,228
PF16226	135,182,68
PF10070	209,66,177
PF00926	84,51,187
PF00677	107,211,72
PF04973	79,222,192
PF00925	50,54,188
PF00885	86,187,81
PF06330	66,189,108
PF07428	194,209,91
PF00939	94,204,141
PF04752	190,220,58
PF10590	86,221,142
PF01264	118,90,209
PF09424	105,215,169
PF02374	210,53,214
PF14588	97,153,228
PF13783	224,108,57
PF04167	135,185,68
PF01928	184,209,78
PF12974	150,187,81
PF01168	87,82,180
PF10593	53,205,66
PF04471	58,187,128
PF13384	77,216,116
PF16925	70,93,207
PF12867	184,90,185
PF16245	65,108,210
PF00916	189,61,212
PF01022	95,208,123
PF03831	182,146,64
PF08274	185,196,56
PF08706	202,89,142
PF04261	189,65,79
PF00444	48,189,105
PF02901	90,117,182
PF07931	172,201,89
PF07914	186,56,216
PF02872	215,156,101
PF00622	188,212,53
PF07045	195,84,105
PF13333	97,193,73
PF08020	199,141,80
PF13356	47,183,132
PF06580	87,219,195
PF05954	123,216,82
PF02261	223,94,196
PF02899	112,78,223
PF03023	58,92,194
PF13399	116,196,86
PF04134	151,216,64
PF03602	220,198,67
PF03423	132,223,95
PF08125	196,64,94
PF01232	221,155,56
PF07100	202,98,195
PF16916	78,228,68
PF03916	58,224,159
PF11821	85,97,203
PF00116	140,56,199
PF12838	138,229,96
PF07287	118,206,76
PF03449	109,94,217
PF01272	196,189,58
PF03776	123,211,87
PF13453	96,215,65
PF03775	63,191,127
PF10719	157,225,98
PF06719	112,52,192
PF01175	77,191,148
PF16995	228,108,208
PF00862	81,164,199
PF02275	68,101,208
PF00545	63,100,201
PF03527	179,135,65
PF07949	184,85,86
PF01163	101,199,84
PF05195	91,200,145
PF11852	202,92,223
PF10944	176,207,70
PF02600	80,174,206
PF01923	53,94,194
PF08310	138,50,188
PF02424	166,221,108
PF04205	82,219,176
PF01909	55,187,183
PF02629	57,204,178
PF00759	55,57,193
PF02882	147,183,86
PF00763	208,67,229
PF00549	184,103,76
PF08442	76,220,127
PF12593	214,132,76
PF14568	87,162,215
PF02768	51,193,80
PF13427	49,193,165
PF16655	139,73,219
PF13529	228,224,83
PF01252	79,62,214
PF03942	113,93,198
PF00026	210,100,210
PF03050	189,225,106
PF00467	76,136,191
PF13768	69,203,208
PF10361	185,69,132
PF10392	185,140,82
PF08487	89,125,212
PF05383	92,164,213
PF05090	186,63,191
PF12242	94,89,227
PF07055	223,68,84
PF12241	99,216,209
PF02915	214,77,220
PF01712	68,190,77
PF04226	87,179,152
PF12006	85,197,158
PF08548	72,217,76
PF13583	56,208,194
PF17197	107,181,48
PF00152	90,71,190
PF01645	97,123,226
PF04982	81,159,198
PF01336	215,103,173
PF07631	219,128,62
PF07624	83,184,175
PF07626	62,218,224
PF07627	203,90,210
PF14332	60,145,197
PF07637	196,184,54
PF07586	223,99,133
PF12965	160,223,57
PF05272	73,229,161
PF01476	200,86,203
PF09544	227,112,179
PF10458	180,145,58
PF11924	77,180,115
PF10423	63,95,223
PF15953	214,124,100
PF06130	189,51,141
PF04632	191,67,61
PF10114	194,150,73
PF02369	80,184,154
PF02654	54,202,144
PF10662	60,201,169
PF05732	101,102,220
PF08841	204,137,51
PF03319	193,100,75
PF02283	147,218,96
PF02287	122,210,86
PF02286	214,104,142
PF02288	55,200,60
PF07943	228,82,164
PF13375	96,101,217
PF03928	77,133,190
PF15948	78,158,224
PF02277	116,80,221
PF04363	215,119,97
PF05930	127,223,77
PF06167	60,208,154
PF00936	184,205,98
PF01709	192,221,81
PF05116	182,78,181
PF12746	199,158,93
PF00532	170,185,72
PF13478	79,186,134
PF02625	206,94,146
PF08463	75,190,66
PF00750	60,180,158
PF09297	120,179,85
PF09296	223,84,158
PF04313	67,217,209
PF06739	54,187,121
PF07503	182,102,84
PF01106	183,133,85
PF01300	183,139,65
PF14720	120,89,214
PF01750	67,142,190
PF00374	207,95,194
PF01455	147,55,217
PF01924	68,196,130
PF13653	208,74,70
PF04229	216,82,117
PF05448	208,104,113
PF10096	65,145,216
PF01155	96,209,214
PF16355	162,62,184
PF13787	95,187,87
PF13826	159,228,93
PF15801	73,180,137
PF13632	223,107,95
PF00485	176,220,102
PF11236	91,201,199
PF05853	176,96,196
PF12625	64,208,210
PF14417	198,120,52
PF05103	213,106,117
PF02566	161,56,212
PF13481	81,83,185
PF11298	189,70,135
PF02754	80,212,217
PF13183	180,196,91
PF13631	180,62,222
PF04240	65,214,190
PF04345	81,225,141
PF04616	62,179,73
PF02403	220,109,118
PF13458	94,183,81
PF05019	208,65,67
PF13802	87,158,184
PF01055	102,121,211
PF05936	103,111,214
PF09850	110,203,93
PF14331	93,191,96
PF06744	211,84,154
PF06761	91,203,105
PF02475	199,133,87
PF08042	90,137,191
PF11528	194,63,193
PF13545	87,137,202
PF08002	84,200,100
PF07991	108,60,227
PF01450	54,198,169
PF01156	156,80,217
PF05899	221,163,91
PF06315	199,93,220
PF13192	181,201,98
PF10417	80,189,172
PF11158	131,219,62
PF12907	225,99,217
PF12937	174,79,212
PF04419	220,95,212
PF01758	139,96,196
PF03649	208,153,93
PF03922	62,138,201
PF13609	217,146,63
PF13284	93,87,184
PF05170	208,59,109
PF01566	155,80,205
PF04273	73,189,97
PF04000	124,95,209
PF00179	55,85,203
PF00736	79,188,193
PF10587	168,222,107
PF10270	178,84,121
PF09368	181,72,57
PF05128	141,192,52
PF03167	64,224,60
PF04358	218,80,84
PF16326	180,67,143
PF03811	124,89,198
PF05717	64,191,138
PF12759	223,170,108
PF07126	104,143,210
PF01389	63,70,194
PF03476	209,103,209
PF03886	99,207,73
PF12462	163,77,182
PF02926	52,209,163
PF05362	172,181,60
PF03846	184,85,46
PF12805	228,66,214
PF04403	179,84,137
PF09327	69,86,187
PF06303	194,76,199
PF13654	96,115,197
PF13817	179,66,173
PF01170	89,182,69
PF13005	85,193,127
PF13007	68,66,227
PF10672	206,85,142
PF12421	116,184,91
PF04957	122,81,181
PF07828	77,183,197
PF08755	123,85,224
PF04994	112,212,84
PF11870	127,211,86
PF00741	125,204,54
PF05800	67,127,179
PF05974	98,215,174
PF02589	102,213,153
PF00037	226,193,80
PF17046	66,107,224
PF03765	78,214,98
PF04145	68,211,69
PF00650	86,127,210
PF04479	197,116,61
PF01794	64,69,204
PF01301	66,191,195
PF04264	170,111,224
PF01724	104,61,184
PF03588	67,220,156
PF07736	180,55,208
PF10551	197,53,186
PF05225	161,73,201
PF01230	77,81,180
PF00092	199,215,59
PF13946	220,184,88
PF09678	121,77,200
PF08353	104,202,99
PF07685	206,104,226
PF15588	74,109,191
PF10002	104,195,94
PF13176	197,220,70
PF02777	193,115,61
PF00081	63,202,157
PF13519	58,213,93
PF13285	117,201,72
PF03067	131,60,198
PF02541	195,138,51
PF04131	94,199,217
PF11695	173,185,85
PF14430	80,227,198
PF14428	208,61,98
PF00079	215,65,166
PF02896	65,113,188
PF13500	93,118,228
PF00276	65,158,189
PF03939	178,197,82
PF01956	72,209,161
PF02996	53,174,179
PF01231	188,79,75
PF02982	137,188,83
PF00328	97,137,208
PF08558	161,93,206
PF08195	143,217,73
PF00332	84,51,194
PF00173	149,209,92
PF03690	188,47,181
PF13015	140,56,206
PF10406	144,89,227
PF01722	60,203,119
PF02953	60,191,101
PF00253	82,133,215
PF04065	89,207,180
PF00493	54,193,154
PF17207	121,80,221
PF00225	178,194,67
PF03297	85,85,178
PF08312	201,123,70
PF01652	90,67,208
PF00168	52,203,79
PF01172	104,225,214
PF01871	112,75,190
PF03134	175,52,210
PF01912	98,211,81
PF10483	88,158,224
PF12999	223,170,78
PF16862	93,93,204
PF01245	108,217,162
PF12063	215,90,119
PF01248	77,155,188
PF00268	88,210,197
PF04252	203,58,193
PF05254	220,100,58
PF04153	183,82,157
PF16010	82,194,55
PF09531	202,55,77
PF14616	219,211,76
PF16275	204,151,78
PF00025	77,197,154
PF04938	71,128,193
PF05873	179,53,145
PF08325	199,117,54
PF02197	215,92,91
PF04855	174,204,64
PF00098	73,222,177
PF00412	223,199,69
PF02628	128,221,107
PF10163	79,148,189
PF00170	186,195,96
PF00013	80,187,102
PF14551	162,78,212
PF03595	57,210,126
PF03227	139,206,76
PF00651	194,93,137
PF02291	186,54,109
PF01676	138,204,83
PF11154	112,81,217
PF08410	186,58,147
PF04303	79,211,187
PF00010	222,56,154
PF11256	149,194,62
PF02635	60,184,153
PF05947	90,91,186
PF01235	99,187,67
PF12872	138,184,54
PF08326	50,65,192
PF06912	87,188,62
PF03995	105,224,207
PF01603	132,184,88
PF00789	51,136,179
PF14555	166,209,92
PF03552	210,94,179
PF08059	193,91,120
PF03462	189,168,84
PF00472	78,76,196
PF00450	228,93,140
PF02325	224,215,98
PF13947	185,60,181
PF03079	49,194,66
PF13456	198,123,86
PF00439	70,179,75
PF13966	63,179,104
PF02721	213,65,196
PF04564	223,108,158
PF04774	79,217,132
PF14380	204,97,76
PF08263	211,72,136
PF13855	206,99,148
PF00285	217,199,102
PF12768	218,113,105
PF04927	215,87,199
PF15607	153,93,196
PF14243	214,228,80
PF13539	79,118,198
PF01764	228,97,85
PF13676	87,220,58
PF13444	226,151,71
PF07070	83,70,187
PF08417	133,209,104
PF02621	88,139,189
PF01958	161,227,84
PF06210	127,221,74
PF13788	188,58,73
PF04754	71,122,215
PF10400	83,182,88
PF12724	91,190,84
PF00372	70,193,187
PF03723	222,184,109
PF01597	77,190,144
PF03313	104,203,99
PF03315	68,217,124
PF11089	170,86,188
PF05145	95,98,223
PF07748	78,69,180
PF09334	105,223,202
PF01674	176,191,89
PF02223	94,201,134
PF07661	215,114,88
PF16653	207,175,94
PF09261	213,172,69
PF12385	73,204,212
PF01074	197,149,64
PF11774	207,75,68
PF01259	75,117,191
PF12040	179,178,52
PF13396	198,191,75
PF02874	145,94,227
PF14686	69,229,202
PF03221	229,161,86
PF05970	94,205,197
PF03184	168,57,187
PF14683	179,212,62
PF03663	194,62,165
PF06824	131,64,189
PF14905	228,176,68
PF09490	181,124,50
PF09489	84,178,152
PF08534	145,195,92
PF06603	214,82,223
PF03600	75,203,220
PF13173	77,222,177
PF08485	79,191,68
PF14297	197,55,100
PF14064	192,65,149
PF00406	200,63,145
PF02767	74,212,191
PF01024	49,186,118
PF12390	226,160,102
PF09107	77,192,121
PF08924	179,135,79
PF03411	65,210,140
PF08291	188,97,226
PF05114	63,196,127
PF13628	131,76,193
PF01981	140,74,189
PF01327	104,210,201
PF10000	57,199,228
PF01197	63,90,213
PF05547	94,186,68
PF14333	214,164,99
PF00471	82,52,197
PF02661	225,135,106
PF14498	203,56,162
PF04607	227,74,90
PF05099	81,192,110
PF04213	52,186,164
PF03239	86,186,94
PF09250	229,113,170
PF09375	199,93,215
PF09243	136,87,180
PF12307	53,205,86
PF05120	65,204,137
PF06386	61,84,195
PF00457	204,165,59
PF07745	181,53,165
PF00717	180,76,105
PF01726	210,53,189
PF13307	70,108,178
PF05425	94,216,110
PF13290	126,178,80
PF12399	205,68,53
PF13433	87,214,221
PF01653	49,184,68
PF12826	223,81,103
PF03120	67,220,154
PF09660	205,225,100
PF01656	143,82,224
PF04248	184,123,83
PF07561	101,158,228
PF06197	213,150,59
PF00830	191,73,161
PF06030	137,95,202
PF13490	179,173,84
PF07498	124,198,58
PF14031	185,183,55
PF06150	221,180,93
PF13845	113,199,62
PF01729	89,196,148
PF02559	216,93,82
PF02457	202,89,54
PF02542	183,87,193
PF10635	108,198,85
PF02749	75,204,226
PF03309	184,180,48
PF09298	136,220,99
PF13740	99,192,209
PF01502	75,184,98
PF00475	202,51,127
PF12822	174,181,77
PF06475	188,87,104
PF16952	224,214,74
PF02572	83,191,87
PF02571	228,98,187
PF03965	208,59,133
PF16370	187,57,77
PF16371	73,203,68
PF01078	199,220,103
PF02514	138,196,88
PF03726	77,110,213
PF03746	225,96,106
PF05193	199,79,180
PF12458	216,107,168
PF01556	97,143,214
PF00226	207,80,207
PF02132	118,195,60
PF09359	202,100,147
PF12169	169,67,207
PF06108	93,186,69
PF13662	192,150,56
PF09683	202,100,222
PF01625	201,74,176
PF04461	82,217,182
PF00203	66,199,57
PF00181	213,207,104
PF00237	190,183,69
PF03947	193,151,57
PF00338	99,223,207
PF00573	62,201,93
PF00297	197,86,167
PF02021	81,199,67
PF01746	69,212,172
PF13541	192,77,61
PF13335	224,211,78
PF01782	203,57,98
PF10611	108,59,186
PF05239	89,112,204
PF04290	77,57,182
PF03480	209,103,193
PF06808	223,62,92
PF01715	211,87,157
PF02810	86,60,197
PF04166	180,54,159
PF03812	106,76,205
PF06267	136,84,207
PF07005	217,82,111
PF17042	155,211,77
PF04314	55,206,196
PF01783	54,205,64
PF12823	204,120,58
PF02333	131,94,205
PF16951	78,123,205
PF00209	66,100,219
PF12294	88,221,140
PF01169	186,57,147
PF04454	89,100,181
PF04107	67,145,225
PF10021	129,82,199
PF14472	86,173,210
PF08471	186,62,61
PF03477	186,70,213
PF02867	53,200,190
PF13391	150,101,220
PF12972	193,58,179
PF12971	223,96,140
PF05089	129,224,85
PF01402	104,197,67
PF13576	200,213,59
PF00499	189,145,91
PF06772	67,220,169
PF11127	93,174,209
PF10025	77,216,179
PF11387	193,75,159
PF05108	68,185,144
